Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,MetroFramework\MetroFramework\MetroFramework.csproj,File,MetroFramework\MetroFramework\MetroFramework.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,MetroFramework\MetroFramework.Demo\MetroFramework.Demo.csproj,File,MetroFramework\MetroFramework.Demo\MetroFramework.Demo.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,MetroFramework\MetroFramework.Design\MetroFramework.Design.csproj,File,MetroFramework\MetroFramework.Design\MetroFramework.Design.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,MetroFramework\MetroFramework.Fonts\MetroFramework.Fonts.csproj,File,MetroFramework\MetroFramework.Fonts\MetroFramework.Fonts.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.Components\NFe.Components.csproj,File,NFe.Components\NFe.Components.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.Components.Info\NFe.Components.Info.csproj,File,NFe.Components.Info\NFe.Components.Info.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.Components.Wsdl\NFe.Components.Wsdl.csproj,File,NFe.Components.Wsdl\NFe.Components.Wsdl.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.ConvertTxt\NFe.ConvertTxt.csproj,File,NFe.ConvertTxt\NFe.ConvertTxt.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.ConvertCFe\NFe.SAT.csproj,File,NFe.ConvertCFe\NFe.SAT.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.Service\NFe.Service.csproj,File,NFe.Service\NFe.Service.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.Settings\NFe.Settings.csproj,File,NFe.Settings\NFe.Settings.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.Threadings\NFe.Threadings.csproj,File,NFe.Threadings\NFe.Threadings.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.UI\NFe.UI.csproj,File,NFe.UI\NFe.UI.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,NFe.Validate\NFe.Validate.csproj,File,NFe.Validate\NFe.Validate.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,uninfe\UniNFe.csproj,File,uninfe\UniNFe.csproj,,,,,,,,
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,UniNFe.Service\UniNFe.Service.csproj,File,UniNFe.Service\UniNFe.Service.csproj,,,,,,,,
